SYMBOL,HIGH,LOW,CLOSE,R1,R2,PIVOT,S1,S2,%,>.6%,TOTTRDQTY,TOTTRDVAL,BUY,SELL
EXIDEIND,270.5,256.75,267.45,273.05,278.65,264.9,259.3,251.15,0.962627407,BUY,16061418,4260305324,268.45,263.9
IOC,166.85,161.5,166.55,168.4333333,170.3166667,164.9666667,163.0833333,159.6166667,0.959789857,BUY,12126899,2004282621,167.55,163.9666667
DLF,224.3,214.35,222.45,226.3833333,230.3166667,220.3666667,216.4333333,210.4166667,0.94539404,BUY,6606949,1453098977,223.45,219.3666667
ADANIENT,133.5,125.8,131.45,134.7,137.95,130.25,127,122.55,0.921305182,BUY,4625620,595640241.1,132.45,129.25
JUSTDIAL,445.9,421.75,440.7,450.4833333,460.2666667,436.1166667,426.3333333,411.9666667,1.050942026,BUY,3879114,1684293137,441.7,435.1166667
GNFC,500.95,483.3,498.9,505.4666667,512.0333333,494.3833333,487.8166667,476.7333333,0.913596062,BUY,2434086,1206719812,499.9,493.3833333
AMBUJACEM,236.25,228.75,229.45,234.2166667,238.9833333,231.4833333,226.7166667,223.9833333,-0.878392973,SELL,2782140,643801493.2,230.45,230.4833333
IRB,270.4,260.1,261.75,268.0666667,274.3833333,264.0833333,257.7666667,253.7833333,-0.883559482,SELL,2020952,531338714.7,262.75,263.0833333
MEGH,114.35,110,110.75,113.4,116.05,111.7,109.05,107.35,-0.85049239,SELL,1953163,218849439.9,111.75,110.7
TATACOFFEE,128,123.25,123.95,126.8833333,129.8166667,125.0666667,122.1333333,120.3166667,-0.892857143,SELL,1573599,196862863.2,124.95,124.0666667
PRAKASH,206.4,197.35,199.45,204.7833333,210.1166667,201.0666667,195.7333333,192.0166667,-0.804045093,SELL,1350068,273102932.3,200.45,200.0666667
OIL,234.9,224.55,226.75,232.9166667,239.0833333,228.7333333,222.5666667,218.3833333,-0.867094142,SELL,1025980,235040828,227.75,227.7333333
